video_id,title,duration,view_count,upload_date,has_subtitles,subtitle
lHlNTHUCqLM,????? :: ??????????????? ???????? 23 ??.?. 2567,194,4047,,No,
HNR3Xa9jUqk,???????????????????? :: ??????????????? ???????? 23 ??.?. 2567,262,4008,,No,
EBaR8V8x28U,??????????????????????? :: ????????????? ???????? 7 ??.?. 2567,4860,6711,,No,
heq0eD84hAk,??????????????????? :: ??????????????? ???????? 22 ??.?. 2567,83,2759,,No,
bKjy05jJoLE,???????? :: ??????????????? ???????? 22 ??.?. 2567,143,3660,,No,
VuXC75_Qy18,????????????????????????????????????????????? :: ??????????????? ???????? 8 ??.?. 2567,83,3232,,No,
_vWUJyq-Ces,???????????????????????? :: ??????????????? ???????? 16 ??.?. 2567,147,4339,,No,
MtNA7MWRns8,?????????????????????????? :: ??????????????? ???????? 19 ?.?. 2567,176,5103,,No,
wFimZEWTrmE,Some seclusion is necessary for meditators :: Luangpu Pramote Pamojjo 4 Jun 2023,3768,2594,,No,
qzLu73ffWds,???????????????? :: ??????????????? ???????? 16 ??.?. 2567,176,4176,,No,
